"Fecha","ID","Producto","Tipo","Ventas","Unidades"
2025-08-13,1,"Tomaseca","Bebida",294410,3
2025-08-13,2,"Marimba de Chonta","Artesanias",395267,3
2025-08-13,3,"Empanada de Piangua","Comida",23116,1
2025-08-13,4,"Marimba de Chonta","Artesanias",453386,5
2025-08-13,5,"Tomaseca","Bebida",305585,1
2025-08-13,6,"Sombrero de Palma","Artesanias",362770,1
2025-08-13,7,"Tomaseca","Bebida",241415,2
2025-08-13,8,"Marranita","Comida",36902,1
2025-08-13,9,"Tomaseca","Bebida",280721,1
2025-08-13,10,"Artesanias en cana","Artesanias",32231,5
2025-08-13,11,"Sombrero de Palma","Artesanias",323862,2
2025-08-13,12,"Marranita","Comida",36805,1
2025-08-13,13,"Marimba de Chonta","Artesanias",354284,3
2025-08-13,14,"Sombrero de Palma","Artesanias",347268,5
2025-08-13,15,"Artesanias en cana","Artesanias",31653,1
2025-08-13,16,"Curao","Bebida",268620,5
2025-08-13,17,"Encocado de Camarones","Comida",25547,5
2025-08-13,18,"Curao","Bebida",353752,1
2025-08-13,19,"Artesanias en cana","Artesanias",45330,5
2025-08-13,20,"Panuelos","Artesanias",47413,2
2025-08-13,21,"Sombrero de Palma","Artesanias",360600,4
2025-08-13,22,"Aborrajado","Comida",38442,1
2025-08-13,23,"Aborrajado","Comida",40283,1
2025-08-13,24,"Curao","Bebida",258051,5
2025-08-13,25,"Empanada de Piangua","Comida",16366,3
2025-08-13,26,"Panuelos","Artesanias",39056,1
2025-08-13,27,"Panuelos","Artesanias",55234,3
2025-08-13,28,"Encocado de Camarones","Comida",34166,4
2025-08-13,29,"Panuelos","Artesanias",27885,3
2025-08-13,30,"Marranita","Comida",37754,2
2025-08-13,31,"Empanada de Piangua","Comida",21029,3
2025-08-13,32,"Marimba de Chonta","Artesanias",427940,2
2025-08-13,33,"Sombrero de Palma","Artesanias",376943,2
2025-08-13,34,"Aborrajado","Comida",38614,4
2025-08-13,35,"Limonada de Cana","Bebida",19583,1
2025-08-13,36,"Aborrajado","Comida",35777,3
2025-08-13,37,"Encocado de Camarones","Comida",21279,3
2025-08-13,38,"Marranita","Comida",40393,2
2025-08-13,39,"Aborrajado","Comida",38106,3
2025-08-13,40,"Marimba de Chonta","Artesanias",354237,5
2025-08-13,41,"Marranita","Comida",39545,4
2025-08-13,42,"Sombrero de Palma","Artesanias",358177,4
2025-08-13,43,"Tomaseca","Bebida",197786,2
2025-08-13,44,"Panuelos","Artesanias",73086,2
2025-08-13,45,"Tomaseca","Bebida",253286,4
2025-08-13,46,"Marranita","Comida",42910,1
2025-08-13,47,"Encocado de Camarones","Comida",23277,4
2025-08-13,48,"Panuelos","Artesanias",43149,3
2025-08-13,49,"Limonada de Cana","Bebida",21428,3
2025-08-13,50,"Limonada de Cana","Bebida",19731,4
2025-08-13,51,"Aborrajado","Comida",38376,2
2025-08-13,52,"Artesanias en cana","Artesanias",36109,3
2025-08-13,53,"Panuelos","Artesanias",59788,5
2025-08-13,54,"Curao","Bebida",374394,5
2025-08-13,55,"Aborrajado","Comida",35636,4
2025-08-13,56,"Marimba de Chonta","Artesanias",336601,5
2025-08-13,57,"Empanada de Piangua","Comida",20583,5
2025-08-13,58,"Viche","Bebida",269417,2
2025-08-13,59,"Panuelos","Artesanias",32548,2
2025-08-13,60,"Empanada de Piangua","Comida",21776,2
2025-08-13,61,"Sombrero de Palma","Artesanias",381649,2
2025-08-13,62,"Artesanias en cana","Artesanias",20716,1
2025-08-13,63,"Tomaseca","Bebida",182022,5
2025-08-13,64,"Aborrajado","Comida",42777,3
2025-08-13,65,"Artesanias en cana","Artesanias",57583,4
2025-08-13,66,"Marimba de Chonta","Artesanias",374703,1
2025-08-13,67,"Marranita","Comida",39822,4
2025-08-13,68,"Encocado de Camarones","Comida",24199,1
2025-08-13,69,"Panuelos","Artesanias",71166,3
2025-08-13,70,"Viche","Bebida",244140,2
2025-08-13,71,"Viche","Bebida",236592,1
2025-08-13,72,"Marimba de Chonta","Artesanias",313985,5
2025-08-13,73,"Marranita","Comida",39748,5
2025-08-13,74,"Marimba de Chonta","Artesanias",321345,4
2025-08-13,75,"Aborrajado","Comida",41710,5
2025-08-13,76,"Viche","Bebida",177285,5
2025-08-13,77,"Panuelos","Artesanias",25630,3
2025-08-13,78,"Panuelos","Artesanias",21588,1
2025-08-13,79,"Curao","Bebida",316068,2
2025-08-13,80,"Viche","Bebida",250910,5
2025-08-13,81,"Panuelos","Artesanias",60433,1
2025-08-13,82,"Empanada de Piangua","Comida",18875,2
2025-08-13,83,"Marimba de Chonta","Artesanias",347889,5
2025-08-13,84,"Panuelos","Artesanias",32986,1
2025-08-13,85,"Empanada de Piangua","Comida",23198,4
2025-08-13,86,"Empanada de Piangua","Comida",23343,5
2025-08-13,87,"Marranita","Comida",44974,2
2025-08-13,88,"Viche","Bebida",178958,2
2025-08-13,89,"Viche","Bebida",163260,5
2025-08-13,90,"Encocado de Camarones","Comida",27099,3
2025-08-13,91,"Curao","Bebida",284380,5
2025-08-13,92,"Sombrero de Palma","Artesanias",329030,5
2025-08-13,93,"Marimba de Chonta","Artesanias",404148,2
2025-08-13,94,"Marimba de Chonta","Artesanias",396764,4
